epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,41.2835,1.88106,3.72451,1.9902,0.0053,0.50489,0.06129,0.03319,1.53553,3.70684,1.86131,0.00109966,0.000366554,0.00109966,0.000366554,0.00109966,0.000366554,0.00109966,0.000366554
2,76.5723,1.49868,3.41374,1.72987,0.9174,0.12025,0.13034,0.06726,1.6321,3.00732,1.84933,0.00218878,0.000729593,0.00218878,0.000729593,0.00218878,0.000729593,0.00218878,0.000729593
3,109.084,1.45743,2.80509,1.65719,0.92395,0.12658,0.13542,0.06191,1.6645,2.94226,1.8664,0.00325589,0.0010853,0.00325589,0.0010853,0.00325589,0.0010853,0.00325589,0.0010853
4,141.56,1.39476,2.48758,1.59124,0.46444,0.21598,0.19824,0.09232,1.73546,2.66873,1.89642,0.00323401,0.001078,0.00323401,0.001078,0.00323401,0.001078,0.00323401,0.001078
5,174.231,1.34806,2.17345,1.55839,0.58864,0.38273,0.38179,0.17466,1.71552,2.29175,1.87778,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067,0.00320101,0.001067
6,205.92,1.33144,2.06279,1.54701,0.59666,0.40616,0.45339,0.22252,1.59895,2.09907,1.72771,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601,0.00316802,0.00105601
7,237.26,1.30575,1.99008,1.51495,0.71741,0.38781,0.46499,0.23599,1.60289,1.99785,1.70469,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501,0.00313502,0.00104501
8,270.566,1.27389,1.85353,1.48515,0.47201,0.51471,0.53113,0.28396,1.52351,1.8509,1.65241,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401,0.00310202,0.00103401
9,301.858,1.2611,1.77128,1.47211,0.58275,0.54419,0.56048,0.30655,1.51391,1.79914,1.6479,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301,0.00306903,0.00102301
10,333.286,1.24144,1.69836,1.44682,0.67101,0.60733,0.63419,0.33701,1.55554,1.7275,1.69695,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201,0.00303603,0.00101201
11,364.901,1.23514,1.65489,1.44536,0.7133,0.61823,0.66374,0.35166,1.53093,1.58545,1.63829,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101,0.00300303,0.00100101
12,397.274,1.21847,1.61328,1.43637,0.67937,0.63022,0.67639,0.36817,1.46755,1.53385,1.6227,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012,0.00297004,0.000990012
13,428.754,1.21955,1.59077,1.42748,0.78346,0.60653,0.73668,0.40887,1.4162,1.42789,1.56386,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013,0.00293704,0.000979013
14,460.336,1.21853,1.52121,1.42843,0.78116,0.5757,0.69769,0.38263,1.43828,1.42016,1.61954,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014,0.00290404,0.000968014
15,492.928,1.17878,1.4954,1.40088,0.69762,0.74492,0.75099,0.4116,1.48808,1.29871,1.64324,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015,0.00287105,0.000957015
16,524.234,1.19198,1.51245,1.41084,0.7051,0.6887,0.74601,0.4062,1.45046,1.36335,1.61345,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016,0.00283805,0.000946016
17,555.609,1.18723,1.47197,1.41677,0.70466,0.72223,0.76204,0.43056,1.39874,1.24058,1.54819,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018,0.00280505,0.000935018
18,587.436,1.1863,1.47476,1.41467,0.83605,0.65312,0.78858,0.44142,1.42181,1.29483,1.58475,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019,0.00277206,0.000924019
19,619.469,1.17891,1.43082,1.397,0.76051,0.70334,0.76689,0.4337,1.43041,1.21615,1.53796,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302,0.00273906,0.00091302
20,650.707,1.15792,1.41148,1.38481,0.73945,0.72143,0.76604,0.43668,1.33138,1.14544,1.49862,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021,0.00270606,0.000902021
21,682.003,1.12077,1.34458,1.36653,0.8536,0.69963,0.78711,0.45728,1.27669,1.1679,1.43183,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022,0.00267307,0.000891022
22,714.837,1.1365,1.35974,1.36916,0.83319,0.70286,0.80193,0.48502,1.27423,1.08229,1.45264,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023,0.00264007,0.000880023
23,746.886,1.12059,1.31154,1.36138,0.82388,0.7636,0.83602,0.51464,1.23945,1.0039,1.45535,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024,0.00260707,0.000869024
24,778.645,1.13013,1.31915,1.36336,0.81464,0.77431,0.85681,0.5065,1.29225,0.99929,1.46401,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025,0.00257408,0.000858025
25,809.893,1.14076,1.30424,1.37477,0.80696,0.75983,0.83566,0.5122,1.2601,0.96509,1.45485,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026,0.00254108,0.000847026
26,842.865,1.11587,1.282,1.36351,0.85519,0.76739,0.86059,0.50747,1.29143,0.99413,1.46344,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027,0.00250808,0.000836027
27,874.667,1.08852,1.2453,1.3416,0.86268,0.76894,0.87602,0.51315,1.29538,0.99364,1.47648,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029,0.00247509,0.000825029
28,906.195,1.11294,1.2569,1.3537,0.77743,0.81771,0.85422,0.51945,1.18926,0.916,1.39685,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403,0.00244209,0.00081403
29,937.858,1.11645,1.26663,1.36045,0.80544,0.87478,0.89557,0.53982,1.24387,0.88146,1.4086,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031,0.00240909,0.000803031
30,970.272,1.09857,1.22854,1.34067,0.83872,0.79527,0.87136,0.54521,1.23266,0.88089,1.44093,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032,0.0023761,0.000792032
31,1001.27,1.08781,1.2133,1.33365,0.8873,0.74667,0.87128,0.54319,1.23052,0.90041,1.42389,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033,0.0023431,0.000781033
32,1032.43,1.06392,1.16779,1.32567,0.86965,0.79877,0.8871,0.55212,1.21628,0.86829,1.4067,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034,0.0023101,0.000770034
33,1063.71,1.1119,1.20616,1.3312,0.82265,0.85204,0.87615,0.5394,1.25657,0.90828,1.41486,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035,0.00227711,0.000759035
34,1096.35,1.09732,1.19129,1.33251,0.85723,0.85696,0.90778,0.55512,1.22553,0.828,1.40815,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036,0.00224411,0.000748036
35,1127.52,1.07514,1.17341,1.32657,0.86426,0.81942,0.89088,0.53683,1.28687,0.89482,1.45304,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037,0.00221111,0.000737037
36,1158.9,1.09594,1.19126,1.33541,0.91971,0.77895,0.89729,0.54553,1.21942,0.88307,1.40672,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038,0.00217812,0.000726038
37,1190.95,1.07382,1.15224,1.33098,0.90837,0.82618,0.90478,0.55262,1.28526,0.82714,1.46618,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504,0.00214512,0.00071504
